,userFollowerCount,userFollowingCount,userBiographyLength,userMediaCount,userHasProfilPic,userIsPrivate,usernameDigitCount,usernameLength,isFake
1057,58,826,0,0,1,0,4,12,1
846,924,832,26,596,1,1,0,9,0
239,898,624,150,141,1,1,0,15,0
265,460,459,41,23,1,1,0,12,0
164,452,385,49,172,1,0,0,6,0
131,109,115,0,0,1,1,0,18,0
1147,26,142,0,0,0,0,0,9,1
458,207,201,131,75,1,1,2,12,0
54,1136,976,110,188,1,1,0,10,0
680,516,764,0,217,1,1,0,10,0
1031,46,2521,0,0,0,0,2,12,1
310,2939,595,140,43,1,0,0,13,0
297,529,589,33,67,1,1,0,13,0
1153,0,174,14,0,1,1,1,9,1
646,379,531,27,52,1,1,0,11,0
1043,12,1377,0,0,0,0,5,15,1
75,321,391,0,1,1,1,0,12,0
844,480,481,0,72,1,1,0,11,0
1190,0,0,52,6,1,0,3,7,1
53,340,378,27,9,1,1,0,12,0
1122,48,179,0,4,1,0,0,8,1
398,504,465,0,74,1,1,2,11,0
154,136,365,0,19,1,1,0,14,0
132,425,477,4,137,1,1,0,11,0
819,769,1115,25,92,1,0,0,10,0
968,261,488,0,3,1,1,0,11,0
985,60,58,47,6,1,0,0,13,0
822,338,334,19,30,1,1,0,13,0
934,89,112,0,3,1,1,2,12,0
1094,643,2240,0,2,1,0,1,11,1
0,258,238,0,0,1,0,0,10,0
639,509,690,0,15,1,1,0,10,0
722,531,480,0,13,1,0,0,12,0
829,352,333,14,38,1,1,0,11,0
1155,5,460,0,1,1,1,1,7,1
770,115,160,54,61,1,1,0,9,0
1095,147,2387,0,0,1,0,2,10,1
599,403,449,8,204,1,1,0,12,0
1166,34,3681,36,1,1,0,0,9,1
1026,87,851,53,0,1,0,0,8,1
159,152,221,0,117,1,0,0,11,0
814,354,455,0,19,1,1,0,12,0
866,339,331,48,4,1,1,0,12,0
777,311,412,0,3,0,1,0,13,0
865,530,597,53,71,1,1,0,8,0
771,5,13,0,1,1,1,4,16,0
725,70,90,0,0,1,1,4,9,0
410,272,918,0,1,1,0,0,7,0
249,531,686,0,41,1,1,0,9,0
588,474,935,72,273,1,1,0,8,0
898,93,139,0,3,1,0,0,12,0
99,77,92,0,0,1,1,0,10,0
517,142,224,0,8,1,0,0,7,0
319,346,318,18,0,1,0,0,12,0
1046,514,1999,27,0,1,0,0,6,1
893,360,2288,0,228,1,0,0,12,0
503,101,109,0,2,1,1,3,17,0
1127,29,1857,19,1,1,0,3,8,1
908,1705,578,25,6,1,0,2,14,0
227,684,592,11,49,1,1,0,11,0
583,464,684,39,102,1,1,0,10,0
1156,0,753,0,9,1,1,0,13,1
885,1011,262,100,132,1,0,0,17,0
51,667,660,0,20,1,1,0,7,0
264,682,762,11,114,1,1,0,7,0
978,283,477,0,5,1,1,2,8,0
401,226,261,0,20,1,1,0,13,0
1039,14,1725,0,0,1,1,4,9,1
788,505,498,0,64,1,0,0,9,0
363,66,61,20,0,1,0,0,12,0
888,16,57,26,4,1,1,2,14,0
782,615,830,42,108,1,1,0,15,0
759,260,161,0,2,1,1,0,10,0
454,218,255,0,2,1,1,0,9,0
1148,49,111,0,0,0,1,5,10,1
1112,129,1796,0,5,1,1,0,8,1
504,358,336,0,9,1,0,0,13,0
801,972,732,5,113,1,1,0,13,0
1085,58,2132,0,0,0,0,0,14,1
723,136,162,103,2,1,1,2,8,0
1060,15,659,0,1,1,0,0,8,1
642,475,551,0,93,1,1,0,11,0
1162,223,1735,0,6,1,0,2,9,1
488,325,335,0,50,1,1,0,14,0
566,634,618,17,25,1,1,0,7,0
1018,0,848,0,0,0,1,4,9,1
1164,85,1401,130,9,1,0,3,16,1
417,269,127,148,146,1,1,0,13,0
403,261,299,119,8,1,0,0,10,0
1054,20,3543,0,0,0,0,1,11,1
586,281,560,32,396,1,1,0,10,0
313,241,293,22,16,1,1,0,10,0
881,2572,693,3,8,1,0,0,11,0
1064,4,883,0,0,1,0,1,7,1
166,485,510,115,24,1,1,0,13,0
674,374,449,0,26,1,1,0,12,0
355,134,365,7,59,1,1,0,11,0
78,535,426,13,60,1,0,0,12,0
1157,0,140,0,0,1,1,2,7,1
315,367,524,0,47,1,1,0,11,0
708,771,1743,96,118,1,1,0,15,0
567,541,516,134,84,1,0,0,8,0
727,1483,1498,28,770,1,1,0,11,0
430,81,52,0,4,1,1,0,15,0
984,154,147,22,5,1,0,0,14,0
429,1669,996,127,107,1,1,2,13,0
874,582,658,0,80,1,1,0,11,0
64,201,317,79,14,1,1,0,8,0
989,239,1134,145,9,1,0,0,19,0
738,579,504,27,35,1,1,0,11,0
280,473,397,35,28,1,1,0,16,0
112,426,486,60,110,1,0,0,12,0
57,289,224,59,10,1,1,0,16,0
294,609,543,23,58,1,1,0,9,0
649,548,480,0,98,1,1,0,7,0
660,302,362,1,54,1,1,0,13,0
37,434,528,23,93,1,1,0,9,0
573,55,31,0,1,1,0,0,8,0
541,709,692,0,76,1,1,0,17,0
629,213,406,0,169,1,1,0,6,0
828,479,547,59,80,1,1,0,10,0
474,207,196,0,7,1,1,0,11,0
180,173,195,4,0,1,1,0,14,0
1030,12,2721,16,1,1,1,0,13,1
333,473,794,0,4,1,1,0,8,0
478,105,174,0,0,1,1,0,11,0
1150,16,486,0,0,1,1,0,13,1
962,5,46,105,7,1,0,0,15,0
870,536,447,33,79,1,1,0,9,0
1021,1,8,0,0,0,0,0,11,1
208,105,167,0,0,1,1,0,7,0
433,165,181,0,85,1,1,0,13,0
275,213,235,42,32,1,1,1,13,0
698,141,96,91,9,1,0,0,9,0
547,198,233,0,28,1,1,0,15,0
694,272,302,31,1,1,1,0,7,0
736,192,145,0,37,1,1,0,10,0
673,362,332,0,38,1,0,0,14,0
344,429,449,0,1,1,0,4,9,0
190,1725,1466,135,245,1,1,0,17,0
499,69,100,0,5,1,1,0,9,0
472,301,477,20,6,1,1,0,12,0
608,407,464,70,579,1,1,0,7,0
162,38,158,0,1,0,1,0,14,0
22,569,539,41,95,1,1,0,11,0
728,1087,922,133,284,1,0,0,10,0
397,1099,584,0,124,1,1,0,11,0
491,113,112,0,14,1,1,0,10,0
469,148,196,0,7,1,1,0,12,0
1019,232,6013,111,1,1,0,1,20,1
191,311,351,0,63,1,0,0,11,0
965,22,46,0,1,1,1,0,13,0
745,59,89,0,0,1,0,2,12,0
353,22,28,0,0,0,1,0,15,0
1123,55,776,6,1,1,0,0,11,1
149,777,582,22,29,1,0,0,13,0
284,376,636,19,60,1,1,0,7,0
867,377,387,0,33,1,1,0,13,0
630,199,228,0,12,1,1,0,8,0
127,237,283,0,0,1,1,0,10,0
161,357,369,65,6,1,1,0,11,0
1180,151,1975,0,0,0,1,4,9,1
115,292,447,0,47,1,1,0,10,0
1051,49,2499,23,1,1,0,4,17,1
204,242,299,39,23,1,1,0,11,0
92,340,343,0,8,1,1,0,11,0
578,97,156,0,24,1,1,0,9,0
40,737,875,87,53,1,0,0,10,0
909,449,1151,0,84,0,1,0,9,0
933,47,61,57,7,1,0,0,15,0
1063,14,3086,0,1,1,0,0,11,1
871,481,555,8,29,1,1,0,11,0
314,349,420,0,61,1,1,0,12,0
383,93,51,0,1,1,1,0,10,0
1007,4,179,0,1,1,0,0,17,1
960,295,378,27,1,1,1,1,13,0
1002,816,7497,0,85,1,0,3,15,1
509,228,320,17,20,1,1,0,11,0
564,189,190,0,9,1,1,0,6,0
396,150,149,77,22,1,0,0,13,0
605,372,362,36,13,1,1,0,7,0
901,281,1342,60,327,1,0,5,9,0
334,575,537,27,44,1,1,0,14,0
444,367,1114,16,69,1,0,0,8,0
322,219,99,87,79,1,0,0,18,0
246,1035,828,0,24,1,0,0,10,0
683,1933,995,0,107,1,1,0,11,0
312,326,784,6,27,1,1,0,12,0
1022,0,126,0,0,1,1,0,5,1
631,211,255,23,27,1,1,4,10,0
146,252,579,0,0,1,1,0,14,0
343,373,1477,90,25,1,0,0,14,0
35,3140,496,63,807,1,1,0,5,0
1136,0,3,0,0,0,0,3,10,1
242,316,317,110,101,1,1,0,7,0
765,511,873,1,502,1,1,0,11,0
559,309,323,0,96,1,1,0,11,0
105,350,393,26,19,1,1,0,8,0
82,306,329,128,11,1,1,0,9,0
176,226,248,42,19,1,0,0,6,0
419,365,627,12,107,1,0,0,7,0
591,964,861,29,9,1,1,0,8,0
287,515,571,0,4,1,0,0,11,0
851,647,542,21,36,1,1,0,14,0
52,347,610,44,14,1,1,2,14,0
71,720,643,16,93,1,1,0,13,0
667,357,593,0,20,1,1,0,9,0
157,225,256,0,1,1,1,0,10,0
281,521,860,0,262,1,1,0,7,0
1068,124,1411,85,0,1,1,0,13,1
1069,441,2772,0,0,0,1,2,9,1
223,224,234,13,7,1,1,0,10,0
1084,4,1546,0,0,0,0,0,11,1
226,320,457,14,1,1,0,0,8,0
247,326,654,146,155,1,1,0,8,0
655,103,143,0,20,1,1,1,11,0
840,440,540,16,48,1,1,0,6,0
1139,24,696,0,0,0,1,0,9,1
1003,150,6631,1,0,1,1,3,8,1
207,305,322,4,49,1,0,0,13,0
938,359,586,48,8,1,1,0,12,0
1050,282,2517,0,5,1,0,2,11,1
442,441,368,25,30,1,1,0,8,0
33,1872,1806,39,374,1,1,0,11,0
266,461,440,25,115,1,1,0,10,0
1121,160,2246,0,1,1,0,3,10,1
332,623,579,146,83,1,0,0,14,0
1175,88,266,0,1,1,0,0,9,1
691,323,505,0,0,1,1,1,13,0
709,271,771,30,81,1,1,0,9,0
576,246,267,0,55,1,1,0,15,0
1168,11,1008,12,1,1,0,0,12,1
953,13,73,56,8,1,1,0,12,0
1126,11,2258,0,3,1,0,0,18,1
741,309,827,0,203,1,1,0,9,0
431,415,439,0,13,1,1,0,11,0
539,133,135,20,4,1,1,0,10,0
56,873,913,66,52,1,1,1,15,0
426,3257,3511,136,113,1,0,0,8,0
697,196,224,0,0,1,0,0,10,0
875,347,381,6,66,1,1,0,9,0
602,381,1319,144,102,1,1,0,11,0
24,441,368,25,30,1,1,0,8,0
422,249,234,19,17,1,1,0,9,0
463,698,705,0,32,1,1,0,7,0
55,206,201,10,16,1,1,0,9,0
160,616,718,0,35,1,1,0,12,0
845,726,582,0,17,1,0,0,16,0
836,423,424,40,169,1,1,0,12,0
620,343,388,0,67,1,1,0,5,0
940,49,326,0,7,1,0,0,14,0
15,174,165,0,76,1,1,1,9,0
712,109,154,0,0,1,1,0,14,0
512,203,256,0,1,1,1,0,7,0
538,87,95,24,11,1,1,0,17,0
616,619,937,0,16,1,1,0,10,0
23,540,543,0,73,1,1,0,12,0
473,116,162,39,11,1,1,0,11,0
1097,11,4677,0,0,0,0,3,8,1
134,1206,962,0,141,1,1,0,11,0
622,1020,1048,101,126,1,0,0,8,0
476,289,451,0,76,1,1,0,13,0
657,321,295,18,99,1,1,0,11,0
1027,29,1603,89,2,1,0,0,11,1
942,40,118,3,4,0,0,0,13,0
645,248,289,22,21,1,1,0,10,0
1138,17,183,0,0,0,1,1,10,1
1176,145,2291,0,1,0,0,7,15,1
802,161,168,0,59,1,1,0,8,0
612,382,691,0,300,1,1,0,6,0
263,283,442,6,36,1,1,0,8,0
346,481,452,93,163,1,0,0,10,0
317,202,201,0,21,1,1,0,9,0
2,51,78,9,0,1,1,0,10,0
20,594,863,105,276,1,1,0,9,0
393,522,856,139,216,1,0,0,11,0
693,104,120,0,12,1,1,0,9,0
609,1017,1201,0,263,1,0,0,14,0
1185,1127,3758,0,3,1,1,6,9,1
998,264,4651,0,0,1,0,0,14,1
779,42,8,0,1,1,0,0,15,0
192,224,308,23,59,1,1,0,16,0
706,404,408,27,102,1,1,0,7,0
302,290,517,2,16,1,1,0,10,0
236,404,454,9,26,1,1,0,11,0
1024,0,6,0,0,0,1,7,11,1
490,256,308,8,6,1,1,0,17,0
1102,64,190,70,3,1,0,0,16,1
111,673,587,41,11,1,1,0,11,0
424,508,723,33,154,1,1,0,11,0
471,209,240,0,0,1,0,0,6,0
1192,1,0,60,5,1,0,1,13,1
1128,39,481,14,2,1,0,0,19,1
955,443,1821,0,8,1,0,0,14,0
9,101,114,14,4,1,1,0,15,0
878,183,189,6,11,1,1,0,5,0
328,261,102,0,142,1,0,0,8,0
31,861,686,0,323,1,0,0,9,0
241,379,386,0,31,1,0,0,11,0
372,633,661,19,31,1,1,0,10,0
282,230,358,0,26,1,0,0,10,0
386,106,115,0,8,1,1,0,8,0
1089,26,3400,0,0,0,0,2,8,1
743,522,493,0,43,1,1,0,11,0
1029,290,2269,0,0,0,1,0,12,1
94,197,320,0,9,1,1,0,10,0
747,213,274,0,1,1,1,0,13,0
648,609,719,89,37,1,0,0,11,0
152,127,142,0,6,1,1,0,13,0
1045,8,1709,0,0,1,1,2,7,1
946,816,646,130,9,1,0,1,15,0
377,199,209,107,49,1,1,0,10,0
932,140,288,0,5,1,0,0,13,0
477,513,520,49,37,1,0,0,10,0
954,30,347,149,1,1,0,2,9,0
1184,228,1779,0,0,0,0,10,11,1
713,422,466,25,27,1,1,0,12,0
556,257,291,139,19,1,1,2,10,0
1016,25,136,0,0,0,1,2,8,1
221,290,289,0,76,1,1,0,9,0
1134,1,67,0,0,0,1,0,8,1
923,247,316,108,3,1,0,0,9,0
487,236,226,12,12,1,1,0,7,0
1042,12,1710,0,1,1,0,3,13,1
1173,288,4276,0,1,1,0,5,9,1
151,109,104,22,20,1,0,0,13,0
1161,28,4518,0,1,1,0,2,6,1
230,303,418,115,92,1,1,0,13,0
910,1022,5252,140,2,1,0,3,10,0
763,296,495,0,49,1,1,0,12,0
4,113,242,0,95,1,1,0,10,0
594,615,1187,1,984,1,1,0,13,0
125,402,524,3,79,1,1,0,8,0
155,264,265,34,4,1,1,0,10,0
1110,959,2107,0,3,1,0,0,8,1
562,272,240,0,147,1,0,0,13,0
534,397,371,0,298,1,1,0,6,0
250,488,569,0,34,1,1,0,9,0
290,252,265,41,4,1,1,0,9,0
1113,35,2553,0,1,1,0,0,21,1
813,412,414,12,15,1,1,1,12,0
505,467,519,13,16,1,1,0,17,0
376,911,343,76,411,1,0,0,7,0
926,801,4536,82,9,1,0,3,15,0
201,277,175,0,65,1,0,0,9,0
117,186,217,14,5,1,0,0,12,0
753,390,520,38,78,1,1,0,10,0
961,156,165,0,8,1,0,0,16,0
361,92,196,3,5,1,1,0,12,0
80,521,1282,0,156,1,1,0,13,0
423,245,423,0,74,1,1,0,10,0
511,240,492,78,12,1,1,0,13,0
580,196,270,0,199,1,0,0,15,0
891,2253,5022,0,172,1,0,7,15,0
448,566,464,32,65,1,1,0,9,0
792,310,349,0,25,1,1,0,14,0
510,257,252,0,25,1,0,0,12,0
359,249,171,0,56,1,1,0,8,0
43,310,330,0,0,1,1,1,5,0
981,160,177,0,2,1,0,0,12,0
366,126,88,0,2,1,0,0,9,0
915,291,84,68,5,1,0,1,11,0
992,135,517,44,4,1,0,4,11,0
456,404,392,25,23,1,1,0,14,0
952,32,48,0,4,1,0,0,17,0
520,333,358,35,23,1,1,0,18,0
526,262,265,19,22,1,1,0,11,0
27,634,648,59,21,1,0,0,9,0
214,334,870,0,28,1,1,0,13,0
124,486,578,0,3,1,0,4,17,0
835,270,280,34,52,1,1,0,11,0
502,288,304,45,5,1,1,0,11,0
1188,1,1,59,7,1,0,4,15,1
775,220,367,0,10,1,1,0,12,0
1017,5,243,0,1,0,1,0,12,1
1167,14,2429,0,1,1,0,0,16,1
619,108,125,1,16,1,1,0,13,0
453,363,355,41,17,1,1,0,11,0
783,174,26,52,12,1,1,0,11,0
684,500,667,0,150,1,1,0,11,0
369,626,679,48,58,1,1,0,12,0
531,514,573,19,216,1,0,2,15,0
528,636,632,16,111,1,0,0,5,0
1116,34,938,110,3,1,0,0,15,1
1009,8,23,0,0,0,0,0,10,1
356,349,352,15,44,1,1,4,21,0
495,427,981,20,95,1,1,2,13,0
185,237,249,0,36,1,1,0,11,0
121,371,376,0,3,1,1,0,6,0
974,146,166,0,4,1,1,4,10,0
1004,235,7202,0,1,1,1,2,14,1
589,489,570,40,367,1,1,0,11,0
324,417,375,6,25,1,1,0,10,0
831,560,500,39,49,1,1,0,9,0
1082,14,1803,0,0,1,0,0,11,1
1160,80,4839,10,5,1,0,0,8,1
823,345,362,0,56,1,1,0,11,0
530,204,126,0,393,1,0,0,14,0
864,468,456,41,12,1,1,0,6,0
729,911,561,29,211,1,0,0,13,0
590,604,674,0,65,1,1,0,11,0
638,167,294,0,37,1,1,0,14,0
14,114,155,29,8,1,1,2,12,0
804,433,453,0,52,1,1,0,10,0
251,1218,351,35,15,1,0,0,10,0
186,204,445,118,92,1,1,0,8,0
726,1562,1213,0,98,1,1,0,14,0
224,550,502,19,108,1,1,0,13,0
413,217,198,3,0,1,1,0,17,0
439,679,764,23,39,1,1,0,11,0
449,113,148,0,9,1,1,0,10,0
988,401,2117,0,3,1,0,1,10,0
364,462,483,32,31,1,1,0,12,0
326,592,108,35,117,1,0,0,9,0
971,250,796,97,9,1,0,0,20,0
220,222,248,0,40,1,1,0,13,0
389,278,458,42,85,1,1,0,14,0
769,237,492,0,21,1,1,4,10,0
1135,29,41,0,0,0,1,0,9,1
357,427,509,26,0,1,1,0,12,0
272,589,601,58,58,1,1,0,13,0
659,219,337,0,0,1,1,1,7,0
807,402,343,98,1058,1,1,0,10,0
947,288,365,8,4,1,1,0,14,0
1171,407,3792,0,1,1,0,3,9,1
906,197,131,3,1,0,0,0,12,0
1092,47,3999,129,0,1,1,0,12,1
554,204,263,49,24,1,0,0,9,0
808,1801,1029,0,123,1,0,0,8,0
234,350,385,0,63,1,1,0,8,0
1146,2,57,0,0,0,0,2,10,1
1159,368,6929,0,2,1,0,0,7,1
169,342,286,35,18,1,1,0,13,0
581,304,450,0,271,1,1,0,8,0
710,124,115,0,143,1,0,0,6,0
789,341,1049,33,176,1,1,0,8,0
296,649,630,35,67,1,0,0,9,0
325,266,248,33,12,1,0,0,11,0
1115,19,4046,0,1,1,0,5,19,1
412,772,669,22,79,1,0,0,8,0
1,263,482,30,29,1,1,0,8,0
407,260,349,0,26,1,0,0,12,0
944,160,304,0,5,1,1,0,10,0
45,163,186,0,0,1,1,0,8,0
309,420,1097,22,29,1,1,0,10,0
966,70,160,0,4,1,1,0,5,0
1032,2,1973,13,0,0,1,1,11,1
86,230,230,8,2,1,1,0,12,0
677,473,531,24,19,1,1,0,10,0
367,486,479,20,38,1,1,0,15,0
1143,1,282,0,0,0,1,0,15,1
102,473,497,8,16,1,1,0,12,0
894,142,289,0,7,1,0,0,12,0
552,293,259,0,36,1,1,0,13,0
951,41,93,0,1,1,1,0,9,0
876,298,298,22,25,1,1,0,12,0
1099,33,5133,0,2,1,0,8,13,1
182,233,280,0,23,1,0,0,7,0
447,160,169,9,8,1,1,0,10,0
618,719,607,45,69,1,1,0,11,0
734,196,207,0,27,1,1,0,7,0
610,148,426,0,22,1,1,0,8,0
440,569,539,41,95,1,1,0,11,0
452,369,396,0,5,1,1,0,12,0
276,376,437,116,33,1,1,0,9,0
42,399,364,47,9,1,1,0,16,0
1149,1,127,0,0,1,1,0,10,1
148,182,188,19,24,1,1,0,7,0
601,242,273,0,206,1,1,0,13,0
899,58,170,12,20,1,0,0,9,0
1006,59,6603,0,0,0,1,0,12,1
150,257,281,17,11,1,1,0,8,0
833,452,481,0,82,1,1,0,6,0
